ID,Normed_Dry_Yld_Vol
,
1,0.578439419
,
1,0.660868833
,
1,0.542293861
,
1,0.529278336
,
1,0.711499782
,
1,0.678430683
,
1,0.530036708
,
1,0.783740063
,
1,0.683457293
,
1,0.780627086
,
1,0.516972386
,
1,0.531147619
,
1,0.685000919
,
1,0.517468516
,
1,0.710577483
,
1,0.685438077
,
1,0.539866513
,
1,0.65988102
,
1,0.661394979
,
1,0.703177286
,
1,0.683364443
,
1,0.780659792
,
1,0.592227632
,
1,0.698897788
,
1,0.529378328
,
1,0.543291614
,
1,0.52977625
,
1,0.681767435
,
1,0.54544059
,
1,0.590892966
,
1,0.678829335
,
1,0.577538791
,
1,0.578701836
,
1,0.578522994
,
1,0.544038561
,
1,0.516508672
,
1,0.517359994
,
1,0.780248935
,
1,0.698115177
,
1,0.544650275
,
1,0.541475893
,
1,0.782510979
,
1,0.780889595
,
1,0.705711659
,
1,0.578787085
,
1,0.57972496
,
1,0.519568811
,
1,0.683782263
,
1,0.518605006
,
1,0.713081753
,
1,0.682884731
,
1,0.530933552
,
1,0.575681802
,
1,0.662230622
,
1,0.699151421
,
1,0.679306584
,
1,0.576047395
,
1,0.680764665
,
1,0.593105353
,
1,0.709241778
,
1,0.71215824
,
1,0.578960095
,
1,0.593400119
,
1,0.545481942
,
1,0.544928823
,
1,0.592838447
,
1,0.682941463
,
1,0.590695979
,
1,0.678874623
,
1,0.528542683
,
1,0.591281263
,
1,0.703014312
,
1,0.591320645
,
1,0.593223329
,
1,0.545941966
,
1,0.592722632
,
1,0.522753533
,
1,0.68328486
,
1,0.519540143
,
1,0.519422583
,
1,0.59091699
,
1,0.582329801
,
1,0.711945451
,
1,0.676191084
,
1,0.658418644
,
1,0.590235275
,
1,0.540033644
,
1,0.532091583
,
1,0.592183389
,
1,0.712926569
,
1,0.700101473
,
1,0.716293888
,
1,0.701983457
,
1,0.577641953
,
1,0.545592236
,
1,0.590608133
,
1,0.592397172
,
1,0.676224087
,
1,0.54180603
,
1,0.699931185
,
1,0.703235001
,
1,0.591848481
,
1,0.578030883
,
1,0.674453349
,
1,0.548123922
,
1,0.542661277
,
1,0.683751319
,
1,0.530611891
,
1,0.589442562
,
1,0.68378227
,
1,0.695742569
,
1,0.531478142
,
1,0.681801476
,
1,0.57663214
,
1,0.530696786
,
1,0.684040918
,
1,0.697870202
,
1,0.679837547
,
1,0.530785352
,
1,0.661281497
,
1,0.660956523
,
1,0.780741037
,
1,0.516807298
,
1,0.678175156
,
1,0.714398223
,
1,0.703010499
,
1,0.591136377
,
1,0.530848437
,
1,0.678119474
,
1,0.661053242
,
1,0.679362531
,
1,0.576424586
,
1,0.698638187
,
1,0.530378237
,
1,0.591475693
,
1,0.679787154
,
1,0.661436246
,
1,0.579018188
,
1,0.529881258
,
1,0.682695938
,
1,0.782415415
,
1,0.700631359
,
1,0.711456065
,
1,0.542585672
,
1,0.543852865
,
1,0.592718442
,
1,0.531451963
,
1,0.592052844
,
1,0.678036348
,
1,0.660971999
,
1,0.578428595
,
1,0.531598265
,
1,0.544793734
,
1,0.783209982
,
1,0.701915409
,
1,0.703416485
,
1,0.678451803
,
1,0.544323743
,
1,0.712118771
,
1,0.542724209
,
1,0.684942886
,
1,0.518921175
,
1,0.542559135
,
1,0.517696422
,
1,0.680628542
,
1,0.70180321
,
1,0.677783842
,
1,0.699546799
,
1,0.530731274
,
1,0.698958757
,
1,0.544704895
,
1,0.678973143
,
1,0.68319732
,
1,0.678652564
,
1,0.541096765
,
1,0.530600837
,
1,0.783164398
,
1,0.592124949
,
1,0.680888407
,
1,0.530636947
,
1,0.69772474
,
1,0.700111676
,
1,0.702482371
,
1,0.545449867
,
1,0.780485704
,
1,0.542582355
,
1,0.528975979
,
1,0.781180275
,
1,0.683404235
,
1,0.539081513
,
1,0.529669261
,
1,0.518698352
,
1,0.659291429
,
1,0.7141336
,
1,0.544433012
,
1,0.780613371
,
1,0.695877131
,
1,0.698022039
,
1,0.711621672
,
1,0.576350315
,
1,0.697926848
,
1,0.544947157
,
1,0.713113101
,
1,0.592341681
,
1,0.518460944
,
1,0.684241352
,
1,0.702849587
,
1,0.679792388
,
1,0.579813592
,
1,0.519023312
,
1,0.704762787
,
1,0.591089994
,
1,0.659455468
,
1,0.547399696
,
1,0.700775308
,
1,0.780205044
,
1,0.683875113
,
1,0.660528379
,
1,0.54029362
,
1,0.703458469
,
1,0.545111487
,
1,0.578939262
,
1,0.546439376
,
1,0.695833401
,
1,0.575356827
,
1,0.543240055
,
1,0.532800481
,
1,0.711609431
,
1,0.679025393
,
1,0.697742421
,
1,0.67788209
,
1,0.685613464
,
1,0.542677317
,
1,0.686041593
,
1,0.531346731
,
1,0.517269399
,
1,0.712997737
,
1,0.660275629
,
1,0.702065608
,
1,0.662392591
,
1,0.697884894
,
1,0.591931032
,
1,0.711947002
,
1,0.698865664
,
1,0.698120058
,
1,0.531302839
,
1,0.531212096
,
1,0.662911518
,
1,0.66028226
,
1,0.709902774
,
1,0.676495516
,
1,0.685097629
,
1,0.541763297
,
1,0.593429301
,
1,0.519877526
,
1,0.660127071
,
1,0.703042178
,
1,0.592483686
,
1,0.679924277
,
1,0.685075521
,
1,0.591706613
,
1,0.782987984
,
1,0.714142882
,
1,0.579834231
,
1,0.519227276
,
1,0.545558967
,
1,0.518568357
,
1,0.588962697
,
1,0.530213975
,
1,0.658232951
,
1,0.67410632
,
1,0.528852172
,
1,0.695581629
,
1,0.702971563
,
1,0.541537795
,
1,0.702414503
,
1,0.685422606
,
1,0.713214395
,
1,0.579654422
,
1,0.546039974
,
1,0.518744769
,
1,0.661106116
,
1,0.679791661
,
1,0.712230188
,
1,0.545666512
,
1,0.541217988
,
1,0.782670971
,
1,0.531588131
,
1,0.679444901
,
1,0.695485337
,
1,0.678269993
,
1,0.544416149
,
1,0.657583003
,
1,0.518731172
,
1,0.655679586
,
1,0.677984994
,
1,0.542170866
,
1,0.699123648
,
1,0.701831071
,
1,0.712949105
,
1,0.576314333
,
1,0.713149401
,
1,0.543116234
,
1,0.700069057
,
1,0.70262922
,
1,0.700136121
,
1,0.700764074
,
1,0.544874204
,
1,0.545245603
,
1,0.678500388
,
1,0.575824639
,
1,0.661529088
,
1,0.577597876
,
1,0.579655755
,
1,0.678428536
,
1,0.578745817
,
1,0.684148505
,
1,0.578160163
,
1,0.684455425
,
1,0.712834555
,
1,0.695464368
,
1,0.703065517
,
1,0.575016385
,
1,0.703737233
,
1,0.779673271
,
1,0.782994414
,
1,0.679531881
,
1,0.69890754
,
1,0.541909202
,
1,0.700040251
,
1,0.704448673
,
1,0.696055466
,
1,0.676568631
,
1,0.701845791
,
1,0.678550772
,
1,0.781780948
,
1,0.677631608
,
1,0.541665469
,
1,0.710608422
,
1,0.698163565
,
1,0.71270372
,
1,0.699406827
,
1,0.576679934
,
1,0.575614278
,
1,0.518601677
,
1,0.657053765
,
1,0.697031634
,
1,0.781519929
,
1,0.678055442
,
1,0.703524735
,
1,0.530121121
,
1,0.702578341
,
1,0.69894134
,
1,0.779514097
,
1,0.541630649
,
1,0.678672829
,
1,0.683696049
,
1,0.682953256
,
1,0.698333427
,
1,0.660666928
,
1,0.781852132
,
1,0.519168604
,
1,0.683948069
,
1,0.681486885
,
1,0.531665795
,
1,0.660538696
,
1,0.589782397
,
1,0.591689039
,
1,0.576354946
,
1,0.684447694
,
1,0.592076597
,
1,0.660229207
,
1,0.590512757
,
1,0.701246835
,
1,0.660136353
,
1,0.678240784
,
1,0.656814424
,
1,0.590214035
,
1,0.67630955
,
1,0.518187683
,
1,0.678543511
,
1,0.679196352
,
1,0.540586098
,
1,0.677858813
,
1,0.516999516
,
1,0.660600608
,
1,0.66191597
,
1,0.518066972
,
1,0.542744837
,
1,0.702638486
,
1,0.711467941
,
1,0.781672628
,
1,0.678172449
,
1,0.715622276
,
1,0.713678642
,
1,0.530585364
,
1,0.530661332
,
1,0.679089281
,
1,0.685291066
,
1,0.526859022
,
1,0.711241347
,
1,0.685716629
,
1,0.698873056
,
1,0.592243948
,
1,0.659806224
,
1,0.592018793
,
1,0.59231883
,
1,0.518948655
,
1,0.590098828
,
1,0.676214584
,
1,0.712002467
,
1,0.519041894
,
1,0.546214716
,
1,0.541888749
,
1,0.78317833
,
1,0.698872296
,
1,0.59307384
,
1,0.51729321
,
1,0.518565827
,
1,0.661095799
,
1,0.5188725
,
1,0.545103227
,
1,0.781098776
,
1,0.661343404
,
1,0.546452645
,
1,0.70263882
,
1,0.782929183
,
1,0.57751815
,
1,0.53922585
,
1,0.532702325
,
1,0.659991928
,
1,0.545208461
,
1,0.661025054
,
1,0.528010909
,
1,0.576196693
,
1,0.695861141
,
1,0.70087503
,
1,0.679130155
,
1,0.701637388
,
1,0.659672108
,
1,0.781844502
,
1,0.579295185
,
1,0.711350267
,
1,0.545487009
,
1,0.517649147
,
1,0.65945989
,
1,0.711626182
,
1,0.677590844
,
1,0.543753379
,
1,0.676292705
,
1,0.591956381
,
1,0.698285405
,
1,0.676072155
,
1,0.683160179
,
1,0.539123715
,
1,0.782438112
,
1,0.696310804
,
1,0.682807352
,
1,0.707834601
,
1,0.682435948
,
1,0.712157683
,
1,0.659681398
,
1,0.660303479
,
1,0.661262155
,
1,0.70387771
,
1,0.678158905
,
1,0.696446557
,
1,0.545106322
,
1,0.530925811
,
1,0.579094018
,
1,0.684687552
,
1,0.781251712
,
1,0.575681806
,
1,0.707254922
,
1,0.540256479
,
1,0.658975745
,
1,0.517440998
,
1,0.696304151
,
1,0.703252223
,
1,0.540152793
,
